name,acronym,AP_location,DV_location,ML_location,avIndex
Intermediate reticular nucleus,IRN,-6.52,5.61,0.8,979
Intermediate reticular nucleus,IRN,-6.52,5.49,0.79,979
Intermediate reticular nucleus,IRN,-6.52,5.73,0.79,979
Medulla,MY,-6.52,7.17,0.8,936
Nucleus of the solitary tract,NTS,-6.52,5.44,0.82,949
Intermediate reticular nucleus,IRN,-6.52,5.94,0.82,979
Intermediate reticular nucleus,IRN,-6.52,6.07,0.82,979
Nucleus of the solitary tract,NTS,-6.52,5.29,0.83,949
Intermediate reticular nucleus,IRN,-6.52,5.6,0.88,979
Intermediate reticular nucleus,IRN,-6.52,5.86,0.83,979
Intermediate reticular nucleus,IRN,-6.52,6.03,0.83,979
Intermediate reticular nucleus,IRN,-6.52,6.33,0.83,979
Medial vestibular nucleus,MV,-6.52,4.99,0.84,1004
Nucleus of the solitary tract,NTS,-6.52,5.24,0.84,949
Intermediate reticular nucleus,IRN,-6.52,5.69,0.84,979
Intermediate reticular nucleus,IRN,-6.52,5.73,0.86,979
Nucleus of the solitary tract,NTS,-6.52,5.21,0.88,949
Intermediate reticular nucleus,IRN,-6.52,5.84,0.87,979
Intermediate reticular nucleus,IRN,-6.52,6.14,0.87,979
Medulla,MY,-6.52,7.03,0.87,936
Nucleus of the solitary tract,NTS,-6.52,5.15,0.9,949
Nucleus of the solitary tract,NTS,-6.52,5.41,0.89,949
Intermediate reticular nucleus,IRN,-6.52,5.92,0.9,979
Medial vestibular nucleus,MV,-6.52,4.97,0.92,1004
Intermediate reticular nucleus,IRN,-6.52,6.4,0.93,979
Nucleus of the solitary tract,NTS,-6.52,5.29,0.94,949
Intermediate reticular nucleus,IRN,-6.52,5.85,0.96,979
Parvicellular reticular nucleus,PARN,-6.52,5.55,0.95,989
Intermediate reticular nucleus,IRN,-6.52,6.02,0.94,979
Nucleus of the solitary tract,NTS,-6.52,5.45,0.96,949
Parvicellular reticular nucleus,PARN,-6.52,5.7,0.99,989
Intermediate reticular nucleus,IRN,-6.52,5.97,0.96,979
Parvicellular reticular nucleus,PARN,-6.52,5.51,0.98,989
Nucleus of the solitary tract,NTS,-6.52,5.32,0.99,949
Parvicellular reticular nucleus,PARN,-6.52,5.59,0.99,989
Nucleus of the solitary tract,NTS,-6.52,5.15,0.99,949
Nucleus of the solitary tract,NTS,-6.52,5.19,1,949
Intermediate reticular nucleus,IRN,-6.52,5.91,1.02,979
Spinal vestibular nucleus,SPIV,-6.52,4.97,1.02,1005
Nucleus of the solitary tract,NTS,-6.52,5.24,1.03,949
Nucleus of the solitary tract,NTS,-6.52,5.38,1.02,949
Intermediate reticular nucleus,IRN,-6.52,6.06,1.02,979
Linear nucleus of the medulla,LIN,-6.52,6.2,1.02,981
Parvicellular reticular nucleus,PARN,-6.52,5.73,1.08,989
Intermediate reticular nucleus,IRN,-6.52,6.32,1.05,979
Parvicellular reticular nucleus,PARN,-6.52,5.85,1.07,989
Intermediate reticular nucleus,IRN,-6.52,6,1.08,979
Parvicellular reticular nucleus,PARN,-6.52,5.57,1.09,989
Intermediate reticular nucleus,IRN,-6.52,5.91,1.08,979
Linear nucleus of the medulla,LIN,-6.52,6.15,1.1,981
Linear nucleus of the medulla,LIN,-6.52,6.18,1.09,981
Spinal vestibular nucleus,SPIV,-6.52,5.07,1.1,1005
Nucleus of the solitary tract,NTS,-6.52,5.22,1.12,949
Parvicellular reticular nucleus,PARN,-6.52,5.78,1.13,989
Intermediate reticular nucleus,IRN,-6.52,6.22,1.12,979
Intermediate reticular nucleus,IRN,-6.52,6.38,1.13,979
Intermediate reticular nucleus,IRN,-6.52,6.3,1.13,979
Parvicellular reticular nucleus,PARN,-6.52,5.89,1.15,989
Intermediate reticular nucleus,IRN,-6.52,6.26,1.15,979
Parvicellular reticular nucleus,PARN,-6.52,5.97,1.17,989
Intermediate reticular nucleus,IRN,-6.52,6.41,1.16,979
Parvicellular reticular nucleus,PARN,-6.52,6.02,1.19,989
Spinal vestibular nucleus,SPIV,-6.52,5.12,1.18,1005
Nucleus of the solitary tract,NTS,-6.52,5.34,1.18,949
Intermediate reticular nucleus,IRN,-6.52,6.29,1.19,979
